zip_code,county_code,city,state,county_name,gender,marital_status,age,income,median_income,education_code,occupation,num_in_hhld,num_of_adults,num_of_children,child0_3,child4_6,child7_9,child10_11,child13_18,children,home_owner,dwelling_type,year_structure,median_home_value,len_of_residence,great_outdoors,sporting_life,health_fitness,luxury_life,doit_yourselfer,truck_owner,motor_cycle,sports,entertainment_enth,hobbyists,avid_readers,collectors,travel,pets,music,toys,art_craft,gardening,family,food,cars,casino_gambling,contributors,travel_business,travel_personal,travel_vacation,donor_arts_or_cultural,contributor_index,AAPPAREL,ACASHCONT,AEDUCATN,AENTRTAIN,AFOODTOTL,AGTOTALE,AHEALTH,AHOUSING,AINSPENSN,AREADING,ATRANS
77382,339,Spring,TX,Montgomery,M,M,63,K,165,2,2,5,4,1,,,,1,,1,Y,S,1999,359,14,1,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,2,2077.01,2325.53,1523.69,3488.2,8534.46,1436.88,5005.76,22957.27,9215.63,92.76,16021.05
94403,81,San Mateo,CA,San Mateo,F,M,40,L,255,,0,2,2,0,,,,,,,Y,S,1972,0,9,,,1,1,1,,,,,1,1,,1,,,,,1,1,1,,,,,,1,,3,2136.76,2548.12,1640.35,3199.42,8211.52,1399.15,4287.38,24132.33,7619.74,123.54,12824.46
60010,31,Hoffman Estates,IL,Cook,M,M,60,L,114,2,0,3,3,0,,,,,,,Y,S,1978,646,2,,,,1,1,,,,,1,1,,1,,,,1,1,,1,,,1,,,1,,1,2626.15,2313.15,2482.12,3012.98,8402.44,1985.29,5596.21,24095.73,7912.42,155.39,14623.02
92677,59,Laguna Niguel,CA,Orange,F,S,38,H,86,2,0,1,1,0,,,,,,,Y,S,1990,443,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,7,2069.53,2403.22,1832.85,3280.82,8151.41,1560.14,4559.56,24416.09,7550.64,138.25,13119.66
94588,1,Pleasanton,CA,Alameda,F,M,40,O,134,,0,7,4,3,,1,1,,,1,Y,S,1996,999,10,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,,1,,1,,5,2490.79,3121.45,2195.77,3868.72,9418.73,1690.89,4847.75,27210.09,9789.31,145.87,14986.65
21638,35,Grasonville,MD,Queen Annes,F,M,60,O,112,3,4,4,4,0,,,,,,,Y,S,1993,650,12,1,1,1,1,,,,1,1,1,1,,1,1,1,,,,,1,,,1,1,1,1,,4,1564.81,2283.37,1174.97,2836.57,7471.9,960.55,4702.34,18786.67,6633.12,133.24,11908.84
92009,73,Carlsbad,CA,San Diego,M,M,80,O,255,,0,0,3,0,,,,,,,Y,S,,0,5,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,2168.33,2342.43,1969.4,3510.99,8712.54,1614.42,4872.69,25852.17,8355.41,147.77,13998.86
90272,37,Pacific Palisades,CA,Los Angeles,F,S,67,H,64,1,6,1,1,0,,,,,,,W,S,,999,24,,,,,,,,,,,,,1,,,,,1,,,,,1,,,1,,7,2201.03,3011.54,2110.83,3729.57,8572.52,2137.44,5696.19,26663.89,8486.94,166.9,14386
75205,113,Dallas,TX,Dallas,M,M,37,O,255,2,31,3,3,0,,,,,,,Y,S,1917,0,15,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,1,,1,,,1,1,,1,,1,1925.57,2487.41,1315.88,3446.13,7969.31,1334.92,4949.42,21858.66,8825.39,103.1,15716.33
98607,11,Camas,WA,Clark,M,S,50,L,132,2,0,1,1,0,,,,,,,Y,S,2004,521,4,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,9,1903.71,2167.56,1161.06,4596.5,9349.59,1325.52,4342.81,21757.02,7856.63,159.98,13392.55
